dataset_name,group,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_subsampled_to,CV,HDB,HDB_mean_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.sd,pIR_cv,p_trace,sd_ratio,t1,w_lambda,inter_intra_ratio,minority_size,minority_frac,minority_nn_ratio,minority_isolation,macro_IR,n_minority_classes,class_imbalance_skew,lm_decision_stump,lm_naive_bayes,lm_lin_discr,lm_stump_vs_1nn,ssi_f1.max,ssi_f1.min,ssi_f2.max,ssi_f2.min,ssi_f3.max,ssi_f3.min,ssi_f4.max,ssi_f4.min,ssi_f1.q3,ssi_f3.q1,ssi_f3.q3,ssi_attr_ent.max,ssi_attr_ent.min,ssi_joint_ent.max,ssi_joint_ent.min,ssi_mut_inf.max,ssi_mut_inf.min,ssi_attr_ent.q1,ssi_attr_ent.q3,ssi_joint_ent.q3,ssi_mut_inf.q1,ssi_can_cor.min,ssi_cor.max,ssi_cor.median,ssi_cor.min,ssi_cov.max,ssi_eigenvalues.max,ssi_eigenvalues.median,ssi_eigenvalues.min,ssi_cor.q1,ssi_eigenvalues.q1,ssi_eigenvalues.q3
kaggle_fedesoriano_stellar-classification-dataset-sd,real_kaggle_multiclass,3.1351,3,17,20000,0.0,0.0,,0.0,0.0,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.4158437876778876,0.3693602804729398,0.9696109041216764,,0.6391391391391391,0.2247529745104858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_fedesoriano_stellar-classification-dataset-sdss17,real_kaggle_multiclass,3.1351,3,17,20000,0.0,0.0,,0.0,0.0,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.4158437876778876,0.3693602804729398,0.9696109041216764,,0.6391391391391391,0.2247529745104858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_uciml_glass,real_kaggle_multiclass,8.4444,6,9,43,0.0,0.0,,0.0,0.0,171,0.7657246611507086,0.7010892446851781,3.874047790435896,8.714285714285714,2.020236787207317,0.6116525388703461,0.1372331877058992,0.486389064294164,0.2857533252059148,2.1710541960089595,0.2290046708149818,0.1837347297958715,1.0058823529411764,0.8811521942056627,6.068056616138217,0.7419480748914038,0.2316904764316221,0.001884163656849,0.0058103060688155,0.2397031787482429,0.2752893252131368,0.0534228734228734,0.149205713058694,3.833506879779442,5.559608043452918,0.9684005334974864,0.3577841034368338,0.1487793387899497,0.5263157894736842,0.3972742805979277,0.1545564107771633,0.4561998849773195,0.6404213726292659,1.509491460789712,,0.5964912280701754,0.0797571683933483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaggle_uciml_iris,real_kaggle_multiclass,1.0,3,5,30,0.0,0.0,,0.0,0.0,120,0.0,0.6029329369327482,29.720879306413,1.0,1.985218317370395,0.0152549431257306,0.0,0.7823764372179505,0.2921811860979026,1.584962500721156,0.6379496268779106,0.3105636633284482,1.008403361344539,1.5844846253842364,1.7550309546110872,0.2470995249348619,0.2480499490154999,0.0,0.0,0.0,0.0,0.0,0.0,2.667084210845452,45.1182651630314,0.7499305555555555,0.9030966072460996,0.3607506291483863,0.0333333333333333,0.1980163192208687,0.1048767569000778,0.0,0.0,1.3095956245372844,1.2391678974699352,0.0666666666666666,0.0146525847900784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_1044_eye_movements,real_openml_multiclass,1.485,3,27,2188,0.0,0.0,,0.0,0.0,1998,0.1588372823746425,0.6604484546134991,0.1006864209530385,1.4847560975609757,2.6775231530448576,1.1034976442009858,0.0182784437109604,0.3481891732030848,0.246564621490076,1.5661495420340503,0.0987481535439272,0.1442991653190417,1.0014243722569616,0.9370335931658252,67.47084840033365,0.9836299793869258,0.0195549718186108,0.0035964599363101,0.0023278914441806,0.980133963881842,0.0061602863371819,0.915305679785664,0.0216640259612681,4.220460454842333,0.4067628794679755,0.998987726465204,0.0232122402365746,0.0210543933192311,0.6711711711711712,0.486443313133124,0.0876234849881109,0.4992815651314179,0.1138722783313948,0.3032655132422401,,0.915915915915916,0.704986146010707,0.2920244392491659,2296.0,0.2624599908550525,0.5809233449477351,4.81773995353641,1.3101268576649898,1.0,-0.3906811227200375,0.4152237808951236,0.4185557782231129,0.468626586506346,-0.0360668002672011,0.9998288246465864,0.9359036225810956,0.0057002310338045,0.0010955440383639,0.9871099050203528,0.97544128933231,0.9389416553595658,0.896392939370683,0.9986116390778164,0.9766459933125864,0.982480301156608,3.584955995579937,0.7263106946530103,5.143607957237315,2.291680243759133,0.09666084660889,0.0007799929279279,1.8397953959095128,3.584912625507551,5.115378145775903,0.0078353837033984,0.1738416573467578,0.9992890740535524,0.0515688163190598,3.789195254226129e-05,0.9898150144164772,4.1645794056781416,0.7526961230220701,0.0006866585234766,0.023126846480853,0.342206831195594,1.3775187152689714
openml_1100_PopularKids,real_openml_multiclass,2.7444,3,10,96,0.0,0.0,,0.0,0.0,382,0.4085950552025668,0.3635935766933161,0.2297771267537148,2.736111111111111,1.605717534239026,0.7241642403828171,0.1264835913158428,0.3230809377450421,0.0267784809666587,1.4662795314659351,0.1447170615488592,0.1697930516976704,1.00262467191601,0.7027823149917833,46.80725987324039,0.9711216469515492,0.0282975939433662,0.638888888888889,0.1272937693043289,0.9930067013890014,0.0035775593641243,0.9930067013890014,0.0035775593641243,3.0406711659313617,0.2344048201387439,0.9956689783723034,0.0313258997735991,0.026036099106412,0.675392670157068,,,0.4991094293626746,0.2548757100175035,0.2094796717113132,,0.4790575916230366,0.8013410605592525,0.2939508526209796,72.0,0.1884816753926701,0.4027777777777778,0.7568083497401515,2.016306129137988,2.0,0.3923317192832172,0.536622375328084,0.4974778543307086,0.5366428805774278,0.0680774278215222,0.998354874424504,0.9247007995808968,0.75,0.5,0.9962825278810408,0.9891891891891892,0.9962825278810408,0.9891891891891892,0.9940585268588344,0.9913687881429816,0.9949154574889076,2.778147783703423,0.0,4.208709250185879,1.46627953938639,0.073431551730152,-7.920454958565415e-09,1.5064021726527723,1.9048804780523592,3.331080953243811,0.0105652732902805,0.3041456922636428,0.8502614438722961,0.083147123028137,0.001319493207549,0.8524931012052918,2.171208620113427,0.9897880854644052,-2.22044607118983e-16,0.0262639119261264,0.6011377800891715,1.27146265803486
"openml_119_BNG(cmc,nominal,55296)",real_openml_multiclass,1.8841,3,9,11060,0.0,0.0,,0.0,0.0,1999,0.2471314008139817,0.6406673123860864,0.1754537786073485,1.8841099163679809,1.1914525237013214,0.5588285328728431,0.043580036896184,0.2891712482531235,0.081443936539625,1.539461108302692,0.1089952644891661,0.1417025925344236,1.0087234811473782,0.5397091664475755,59.54458439393534,0.970561367809937,0.0217990478271278,1.0,0.0,1.0,0.0,1.0,0.0,2.705059708864372,0.1933468443222784,0.9996786787590894,0.0258539231396413,0.0184936099030353,0.6503251625812907,,,0.4904647931218728,0.1704972374889186,0.1738731364316096,1.02692536007532,0.2311155577788894,0.832575508199044,0.290616727835456,10044.0,0.2270548874220092,0.3569693349263241,0.3421214535518263,1.5478921650510176,1.0,-0.2121954172434108,0.4405918503674015,0.4799732798931195,0.4946613226452905,0.0060093520374082,0.9969084829576288,0.92628903227938,1.0,1.0,1.0,1.0,1.0,1.0,0.9845961074382804,1.0,1.0,1.861446525883848,0.4040800105486802,3.3425517097717146,1.932082850133754,0.0583559244148252,0.0022642222883901,0.6922434247826655,1.6805172245574596,3.190165049673678,0.0114582687176181,0.2315816884394277,0.6169116353431614,0.0439034357553457,0.0003827230826848,0.6303884998996455,2.223899018821124,0.9645609025372164,0.3521982071303552,0.0123469278215062,0.68204236344585,1.0111824965373908
openml_11_balance-scale,real_openml_multiclass,5.8776,3,4,125,0.0,0.0,,0.0,0.0,500,0.5416493330559911,0.5781987954869026,0.2983683919643449,5.923076923076923,2.320390317014861,0.0007600874409195,0.1644322702717361,0.435518252698799,0.5517097685387563,1.3170894310222006,0.0167115359047244,0.0171992201640036,1.0020040080160322,0.0459519698286834,9.135470591576926,0.8230013093294993,0.0187060502846893,1.0,0.0,1.0,0.0,1.0,0.0,3.4933066134602195,2.143506561750603,0.963456,0.1441731345768417,0.0148775090326686,0.284,0.3685833345453166,0.147120212230044,0.4004006010017532,0.5409862701952389,0.6837359655687179,1.3242087283528414,0.304,0.3176691082335754,0.6650679727127523,39.0,0.078,0.2153846153846154,0.5,4.274953548866592,1.0,-0.7070417070161616,0.6259769617391723,0.8779429093619989,0.8759709496669311,-0.1439410335954597,0.8416487621149205,0.8006650326926753,1.0,1.0,1.0,1.0,1.0,1.0,0.8364769433187447,1.0,1.0,2.3214966449870493,2.319779909871128,3.505265324942962,3.475009859118538,0.1635762168907115,0.1318837839150175,2.319989735844616,2.3205429377708784,3.504432648877657,0.132840478127604,0.0454005341181838,0.0443817698746557,0.0078379086518126,0.0040744274062453,0.0444707112972501,1.0539057524392508,1.0052848002151815,0.9435406791945148,0.00473885032248,0.9823212297597887,1.024967578471425
openml_1222_letter-challenge-unlabele,real_openml_multiclass,3.6232,3,16,4000,0.0,0.0,,0.0,0.0,2000,0.4475086591340999,0.7186979024395304,0.1842643273312271,3.6231884057971016,2.783424908210661,0.2219067277700661,0.1316886375788909,0.2496360784904612,0.2366732432390936,1.424971556171536,0.1877530569826538,0.2111426600246826,0.981787014432545,1.1193890808401132,56.81102071091479,0.984040835979592,0.0170824342648067,0.0836588242820064,0.1269950146739505,0.9256268137814662,0.062569074278806,0.8275584931643016,0.1439367622052251,4.1833138036882,0.2172946643302697,0.999015,0.0250826606939974,0.019304706181845,0.697,,,0.500034766175005,0.3606866299647377,0.1806505674335026,1.1182924690483242,0.809,0.8205266813809021,0.2959352514729319,2208.0,0.138,0.5763586956521739,1.610272363898547,2.542530760402488,1.0,-0.281165313491466,0.5,0.4613333333333333,0.4653333333333333,0.0286666666666666,0.9995345085309868,0.9376380761836132,0.2302873615536338,0.0086748864501723,0.9976798143851509,0.885,0.9912993039443156,0.721,0.998018781687319,0.8896003134796238,0.9459402206721992,3.272861582922068,2.408014027150128,4.694387939921684,3.8129258408204767,0.0651213840937927,0.0034451991719191,2.6793302933958856,2.8724671942795803,4.276888443911621,0.0087423904475762,0.082282823270685,0.8596717647878723,0.0982800735814375,0.0017534250254727,0.8969128530893484,4.324835174000285,0.594733216442103,0.076026348979915,0.0433614222999122,0.2524646601384418,1.088375153211118
openml_12_mfeat-factors,real_openml_multiclass,1.0,10,216,400,0.0,0.0,,0.0,0.0,1600,0.0,0.6428573663898313,12.380303897207812,1.0,3.407915465114128,0.1014764062656962,0.0,0.9297578522844826,0.0474367450427904,3.321928094887362,0.2501939639863951,0.1971975589524465,1.0006253908692933,4.684825065576973,5.279373105114785,0.5090364252349903,0.1404715114492759,9.398379841927972e-30,5.657045689127825e-29,0.2027777777777777,0.1842379862419662,0.0,0.0,6.100615803458012,94.48802265871396,0.978746875,0.6292277565434801,0.1802223917631999,,,,,0.0,7.798048933203923,,,2.1494773892863446e-09,1.480525907677397,160.0,0.1,0.9825,7.046263703832061e-08,1.0,0.0,,0.186,0.9166666666666666,0.9766666666666666,-0.7646666666666666,0.9122103793641396,0.1703682917148393,3.7905831789805434e-28,0.0,0.6375,0.0,0.0,0.0,0.5970119999901917,0.053125,0.33125,3.459373587794011,2.757621981219495,6.524182358533868,5.50069921892264,1.2804906450021187,0.1696051768055086,3.417988693673117,3.459049605228568,6.235972847753526,0.5026842599921906,0.8321882297894797,1.0,0.2053115209031982,1.7528680196413665e-05,1.0006253908692977,48.75870316292738,0.0216662557688844,-6.481080989785554e-16,0.0946876322089002,0.004615200449469,0.1408515117930551
